City,Country,Lat,Lng,Date,Cloudlieness,Humidity,Max Temp,Wind Speed
camacha,PT,33.08,-16.33,1560981713,20,77,21.0,2.6
nokaneng,BW,-19.66,22.19,1560981714,0,32,12.75,3.39
jiuquan,CN,39.73,98.49,1560981715,100,38,20.85,2.6
ambon,FR,47.55,-2.56,1560981716,75,87,16.67,2.1
baraut,IN,29.1,77.26,1560981718,20,65,27.0,1.5
malindi,KE,-3.22,40.12,1560981719,0,83,23.95,4.86
gimli,CA,50.63,-96.99,1560981720,0,38,23.05,2.33
piterka,RU,50.68,47.44,1560981721,0,82,17.85,3.14
bubaque,GW,11.28,-15.83,1560981723,0,84,27.45,6.5
inhambane,MZ,-23.87,35.38,1560981725,27,91,14.45,2.21
mgandu,TZ,-5.96,34.11,1560981726,3,60,16.95,4.78
mahebourg,MU,-20.41,57.7,1560981727,40,69,23.0,6.2
cairns,AU,-16.92,145.77,1560981728,75,88,17.0,4.6
penzance,GB,50.12,-5.53,1560981729,20,87,14.44,3.1
abu kamal,SY,34.45,40.92,1560981731,0,37,29.05,4.84
pochutla,MX,15.74,-96.47,1560981732,40,56,34.44,1.67
dilla,ET,6.41,38.31,1560981733,86,74,22.65,5.83
ushtobe,KZ,45.25,77.98,1560981734,100,26,20.65,2.16
seriate,IT,45.68,9.72,1560981735,0,60,25.0,2.1
ampanihy,MG,-24.69,44.75,1560981737,0,84,17.05,3.4
ajdabiya,LY,30.75,20.22,1560981738,0,57,26.05,8.59
flinders,AU,-34.58,150.85,1560981739,20,93,6.67,4.1
farafangana,MG,-22.82,47.83,1560981740,98,96,17.75,4.21
margate,AU,-43.03,147.26,1560981741,40,75,5.0,4.1
porto torres,IT,40.84,8.4,1560981742,0,82,21.11,1.5
visnes,NO,59.36,5.22,1560981744,100,87,13.0,3.6
palu,ID,-0.9,119.87,1560981745,100,85,22.95,1.24
pisco,PE,-13.71,-76.2,1560981746,90,30,22.0,2.6
along,IN,28.17,94.8,1560981747,19,91,14.05,2.55
alice town,BS,25.72,-79.3,1560981748,9,80,28.75,5.96
marzuq,YE,14.4,46.47,1560981750,76,27,28.45,2.07
pontiac,US,42.64,-83.29,1560981751,75,44,27.0,3.1
tongren,CN,27.72,109.18,1560981752,96,97,22.05,1.11
muttupet,IN,10.4,79.48,1560981753,100,57,29.15,7.28
badou,TG,7.58,0.61,1560981754,38,84,24.45,1.89
sakaiminato,JP,35.55,133.23,1560981756,20,88,19.44,1.23
pithoro,PK,25.52,69.38,1560981758,0,73,29.15,7.47
rovaniemi,FI,66.5,25.72,1560981759,0,81,11.0,1.5
turukhansk,RU,65.8,87.96,1560981760,100,88,6.75,6.21
abu zabad,SD,12.35,29.25,1560981761,0,36,31.15,3.26
pelym,RU,61.01,62.0,1560981762,65,58,7.95,1.17
tuatapere,NZ,-46.13,167.69,1560981764,100,91,1.67,6.56
solnechnyy,RU,50.72,136.64,1560981765,100,94,7.35,2.35
beloha,MG,-25.17,45.06,1560981766,0,73,18.95,7.45
kenai,US,60.55,-151.26,1560981767,1,55,18.89,2.6
udomlya,RU,57.88,35.0,1560981768,58,69,14.65,1.74
cherdyn,RU,60.4,56.48,1560981770,100,68,10.85,0.83
bykovo,RU,49.76,45.39,1560981772,0,77,18.55,3.28
yamada,JP,36.58,137.08,1560981773,40,93,24.44,0.5
salalah,OM,17.01,54.1,1560981774,20,84,30.0,1.5
pallasovka,RU,50.04,46.89,1560981775,0,73,19.25,3.72
longyearbyen,NO,78.22,15.63,1560981776,75,61,8.0,1.5
ntoum,GA,0.39,9.76,1560981778,20,83,26.0,4.1
saint-pierre,FR,48.95,4.24,1560981779,0,93,20.0,4.1
mandalgovi,MN,45.76,106.27,1560981781,1,45,18.75,2.75
paragominas,BR,-3.0,-47.35,1560981782,2,81,26.25,1.31
mirnyy,RU,56.57,36.46,1560981783,15,67,15.55,2.08
kroya,ID,-6.5,108.06,1560981784,41,91,21.35,1.16
nauta,PE,-4.51,-73.58,1560981786,99,66,29.75,1.88
mujiayingzi,CN,42.12,118.78,1560981787,100,67,17.55,3.77
san jose,PH,15.79,120.99,1560981604,100,90,25.55,1.8
micheweni,TZ,-4.97,39.83,1560981790,0,79,26.65,9.04
biharamulo,TZ,-2.64,31.31,1560981791,0,61,18.75,1.72
loei,TH,17.49,101.72,1560981792,63,95,21.85,1.34
vestmannaeyjar,IS,63.44,-20.27,1560981793,43,64,10.15,6.4
haicheng,CN,40.85,122.74,1560981795,100,79,19.65,5.5
acapulco,MX,16.86,-99.88,1560981542,5,66,32.0,3.1
cordoba,CO,5.59,-73.79,1560981797,100,60,23.25,0.55
umba,RU,66.69,34.34,1560981798,55,86,6.75,1.22
ardabil,IR,38.25,48.3,1560981799,0,54,14.0,3.1
sal rei,CV,16.18,-22.92,1560981800,75,73,24.0,5.7
valle de allende,MX,26.94,-105.39,1560981802,100,19,30.45,1.5
kaniama,CD,-7.57,24.18,1560981803,0,44,19.95,2.1
ahipara,NZ,-35.17,173.16,1560981804,31,81,15.15,10.65
soria,ES,41.76,-2.46,1560981805,0,60,17.22,1.72
sisimiut,GL,66.94,-53.67,1560981806,35,85,4.35,1.93
yatou,CM,3.63,9.81,1560981807,40,94,27.0,1.0
husavik,CA,50.56,-96.99,1560981809,0,44,21.15,1.23
kotovo,RU,50.32,44.8,1560981810,0,84,17.35,2.96
waipawa,NZ,-39.94,176.59,1560981811,84,95,1.67,0.61
klyuchi,RU,52.25,79.17,1560981812,0,71,12.45,2.11
chongwe,ZM,-15.33,28.68,1560981813,0,81,11.35,1.08
ceyhan,TR,37.03,35.82,1560981814,75,83,24.44,1.41
tarko-sale,RU,64.92,77.78,1560981817,54,86,1.11,5.95
xai-xai,MZ,-25.04,33.64,1560981819,56,78,18.55,2.97
tallahassee,US,30.44,-84.28,1560981753,75,74,30.56,5.1
san carlos,VE,9.66,-68.59,1560981822,100,91,27.05,0.47
port lincoln,AU,-34.72,135.86,1560981823,100,83,12.25,6.3
yerbogachen,RU,61.28,108.01,1560981824,0,73,12.65,1.29
areka,ET,7.07,37.71,1560981825,91,93,17.65,0.71
port shepstone,ZA,-30.74,30.45,1560981826,100,87,11.85,2.42
estelle,US,32.87,-97.01,1560981828,5,44,36.11,5.1
kilis,TR,36.72,37.12,1560981830,0,46,21.11,3.6
kieta,PG,-6.22,155.63,1560981831,36,79,27.05,2.03
vostok,RU,46.45,135.83,1560981832,93,85,12.85,2.12
esperance,TT,10.24,-61.45,1560981835,75,88,27.0,2.6
inta,RU,66.04,60.13,1560981836,97,74,3.45,4.07
tuzha,CN,28.58,109.69,1560981837,100,95,22.25,1.12
kalabo,ZM,-15.0,22.67,1560981838,0,47,13.65,2.77
nova borova,UA,50.69,28.64,1560981839,100,85,18.95,2.08
lima,PE,-12.06,-77.04,1560981616,90,82,18.0,2.6
carutapera,BR,-1.2,-46.02,1560981842,0,94,24.65,2.43
ormara,PK,25.21,64.64,1560981843,78,84,27.95,1.45
santa margherita ligure,IT,44.33,9.21,1560981844,40,83,22.22,3.1
saint-joseph,FR,43.56,6.97,1560981845,0,56,22.0,1.0
rozhdestveno,RU,50.23,38.19,1560981847,76,85,17.55,2.95
salinopolis,BR,-0.61,-47.36,1560981849,6,79,27.75,6.46
chaplynka,UA,46.36,33.54,1560981850,16,61,22.55,0.68
pundaguitan,PH,6.37,126.17,1560981851,100,76,27.35,2.16
erzin,TR,36.95,36.2,1560981852,75,83,25.0,2.27
comodoro rivadavia,AR,-45.87,-67.48,1560981854,0,58,13.0,7.7
sungaipenuh,ID,-2.08,101.38,1560981855,97,91,22.95,1.12
ashland,US,38.48,-82.64,1560981857,1,61,30.0,2.6
opuwo,NA,-18.06,13.84,1560981859,0,32,16.25,3.86
taksimo,RU,56.36,114.84,1560981861,100,95,11.65,0.15
ishigaki,JP,24.34,124.16,1560981862,20,100,27.0,3.6
arlit,NE,18.74,7.39,1560981863,4,18,38.25,8.7
moose factory,CA,51.26,-80.61,1560981864,90,76,11.0,3.6
kholtoson,RU,50.3,103.31,1560981865,100,91,10.65,0.71
te anau,NZ,-45.41,167.72,1560981867,100,92,3.35,2.24
rocha,UY,-34.48,-54.34,1560981868,45,79,10.45,5.9
didsbury,CA,51.66,-114.14,1560981869,40,58,13.0,9.3
wasilla,US,61.58,-149.44,1560981870,1,55,18.89,2.1
kropotkin,RU,45.43,40.58,1560981871,0,52,21.65,4.38
chalus,IR,36.66,51.42,1560981767,20,78,25.0,1.0
makakilo city,US,21.35,-158.09,1560981765,40,43,33.0,3.1
ventspils,LV,57.39,21.56,1560981875,0,77,18.0,2.6
vyazemskiy,RU,47.53,134.76,1560981876,95,85,15.05,4.12
touho,NC,-20.78,165.23,1560981877,100,80,18.85,1.12
college,US,64.86,-147.8,1560981721,20,53,24.44,2.6
kanchanaburi,TH,14.03,99.53,1560981879,29,85,24.45,1.22
altay,CN,47.83,88.13,1560981881,100,50,12.25,4.46
machaneng,BW,-23.19,27.49,1560981882,0,35,10.95,1.61
mazagao,BR,-0.12,-51.29,1560981642,20,66,30.0,3.6
aberystwyth,GB,52.41,-4.08,1560981884,0,91,10.56,6.98
melita,CA,49.27,-100.98,1560981885,99,39,24.44,5.81
montevideo,US,44.94,-95.72,1560981886,1,36,26.11,3.1
buenavista,CO,4.36,-75.74,1560981888,40,69,28.0,2.1
